Iite,Isim,Iloss,Ipara,Irun,p2,p3,p4,p5,Igrid
16,1,4.7450893,69.8606624  0.109375   0.103125  99.7869171,361,69.8606624,0.109375,0.103125,99.7869171,103.0-095.0
6,17,0.13108443,42.65638    0.2216103  0.3893586 23.892777 ,137,42.65638,0.2216103,0.3893586,23.892777,103.0-097.0
14,5,0.43713076,61.3029102  0.2581297  0.1482336 90.2768908,317,61.3029102,0.2581297,0.1482336,90.2768908,103.0-099.0
11,11,0.47009836,66.3363015  0.084375   0.1965508 56.923342 ,251,66.3363015,0.084375,0.1965508,56.923342,103.0-107.0
12,14,0.37610562,59.9231997  0.065625   0.184375   9.0433802,278,59.9231997,0.065625,0.184375,9.0433802,103.0-109.0
8,23,0.28732243,55.0385498  0.04375    0.3080033 22.3017954,191,55.0385498,0.04375,0.3080033,22.3017954,103.0-111.0
11,6,0.074337618,58.9654816  0.059375   0.3974695 12.8618945,246,58.9654816,0.059375,0.3974695,12.8618945,103.0-113.0
7,22,0.065261959,54.8958333  0.059375   0.3154392 14.276466 ,166,54.8958333,0.059375,0.3154392,14.276466,103.0-115.0
15,31,0.1387866,69.8204532  0.0764954  0.2575149 18.1040118,367,69.8204532,0.0764954,0.2575149,18.1040118,103.0-117.0
12,9,0.97998236,58.359875   0.0744824  0.264477  99.9926291,273,58.359875,0.0744824,0.264477,99.9926291,105.0-099.0
9,8,0.57518141,51.6168744  0.0753947  0.2859617 90.5667109,200,51.6168744,0.0753947,0.2859617,90.5667109,105.0-101.0
10,15,0.16101904,61.5429757  0.0791698  0.1378688 93.4700783,231,61.5429757,0.0791698,0.1378688,93.4700783,105.0-109.0
17,8,0.40161653,63.1422635  0.046875   0.190625  13.9533407,392,63.1422635,0.046875,0.190625,13.9533407,105.0-111.0
12,2,0.11481064,49.4263843  0.0256572  0.3983863  5.4552086,266,49.4263843,0.0256572,0.3983863,5.4552086,105.0-113.0
8,29,0.28354527,60.2045523  0.0734463  0.2987292 50.1461693,197,60.2045523,0.0734463,0.2987292,50.1461693,105.0-115.0
16,4,0.79638324,21.0488929  0.0189475  0.1507703 88.6444772,364,21.0488929,0.0189475,0.1507703,88.6444772,107.0-099.0
7,31,0.34903493,48.125      0.034375   0.3923669 31.3411955,175,48.125,0.034375,0.3923669,31.3411955,107.0-101.0
15,4,0.23093746,65.3085479  0.059375   0.31875   23.2559189,340,65.3085479,0.059375,0.31875,23.2559189,107.0-109.0
14,27,0.073719338,58.7971388  0.0406769  0.2547428  5.9118988,339,58.7971388,0.0406769,0.2547428,5.9118988,107.0-111.0
14,7,0.08366486,43.1987082  0.0341959  0.2669975 15.5522523,319,43.1987082,0.0341959,0.2669975,15.5522523,107.0-113.0
16,19,0.24553791,63.7823096  0.190625   0.2818665 26.6600905,379,63.7823096,0.190625,0.2818665,26.6600905,109.0-099.0
13,31,0.64397576,64.1732815  0.0215596  0.3688117 98.403057 ,319,64.1732815,0.0215596,0.3688117,98.403057,109.0-101.0
7,22,0.16215966,65.1264312  0.0022861  0.2865736 73.7213699,166,65.1264312,0.0022861,0.2865736,73.7213699,109.0-103.0
12,13,0.76294628,63.7888414  0.034375   0.2678451 96.5203621,277,63.7888414,0.034375,0.2678451,96.5203621,109.0-107.0
11,11,0.33012116,69.2725761  0.0340156  0.3033362 91.918536 ,251,69.2725761,0.0340156,0.3033362,91.918536,109.0-109.0
6,5,0.070699655,43.4099396  0.0125     0.1303076  5.0023366,125,43.4099396,0.0125,0.1303076,5.0023366,109.0-111.0
10,29,1.2485059,59.0801525  0.0006679  0.3438505 95.1596546,245,59.0801525,0.0006679,0.3438505,95.1596546,111.0-101.0
9,15,0.94815711,63.7684645  0.0009992  0.1301599 86.0042366,207,63.7684645,0.0009992,0.1301599,86.0042366,111.0-103.0
11,3,0.74933916,68.4782844  0.0611185  0.386613  99.9140756,243,68.4782844,0.0611185,0.386613,99.9140756,111.0-109.0
12,31,0.61314013,68.4171883  0.0014607  0.3983773  9.8115416,295,68.4171883,0.0014607,0.3983773,9.8115416,113.0-101.0
15,31,0.090896139,28.9506386  0.003125   0.3176382 60.5977634,367,28.9506386,0.003125,0.3176382,60.5977634,113.0-107.0
14,15,0.59592953,58.762293   0.0666595  0.1320858 13.9280656,327,58.762293,0.0666595,0.1320858,13.9280656,113.0-109.0
13,27,0.66243116,64.6863873  0.00625    0.3490491 17.3659503,315,64.6863873,0.00625,0.3490491,17.3659503,115.0-101.0
15,28,0.29451414,47.4250454  0.046875   0.375     31.6028922,364,47.4250454,0.046875,0.375,31.6028922,115.0-107.0
10,29,0.52116856,64.2709439  0.0986082  0.3899009 91.6242783,245,64.2709439,0.0986082,0.3899009,91.6242783,115.0-109.0
15,31,0.32047423,65.6549136  0.0011024  0.3998317  6.4916078,367,65.6549136,0.0011024,0.3998317,6.4916078,115.0-123.0
16,6,0.58872601,65.4437744  0.089422   0.3479834  7.6216237,366,65.4437744,0.089422,0.3479834,7.6216237,117.0-099.0
6,27,0.82805643,62.7083333  0.01875    0.2616389 10.3653622,147,62.7083333,0.01875,0.2616389,10.3653622,117.0-101.0
16,10,0.064667572,61.1458333  0.0875     0.228125  55.7301956,370,61.1458333,0.0875,0.228125,55.7301956,117.0-107.0
16,18,0.22818591,66.8298262  0.0893875  0.2897977 93.7485661,378,66.8298262,0.0893875,0.2897977,93.7485661,117.0-109.0
6,24,0.37592081,64.2653813  0.2125     0.2990828 63.9684436,144,64.2653813,0.2125,0.2990828,63.9684436,119.0-099.0
15,10,0.43605462,59.0625    0.171875  0.28125  70.3125  ,346,59.0625,0.171875,0.28125,70.3125,119.0-101.0
8,18,0.32900538,50.622312   0.0625     0.3351434 11.639162 ,186,50.622312,0.0625,0.3351434,11.639162,119.0-103.0
7,30,0.35774314,65.4038106  0.1016013  0.2619358 58.8769425,174,65.4038106,0.1016013,0.2619358,58.8769425,119.0-105.0
12,31,0.42228115,63.3388451  0.088072   0.2527393 95.4866948,295,63.3388451,0.088072,0.2527393,95.4866948,119.0-107.0
16,7,0.442665,68.2072689  0.2593079  0.378125  92.781285 ,367,68.2072689,0.2593079,0.378125,92.781285,121.0-097.0
10,5,0.5879026,66.8689591  0.1011061  0.265914  68.5351439,221,66.8689591,0.1011061,0.265914,68.5351439,121.0-099.0
12,3,0.10596597,29.5264398  0.004373   0.3108977 37.65625  ,267,29.5264398,0.004373,0.3108977,37.65625,121.0-103.0
14,20,0.22931497,57.9399056  0.178125   0.1370231 78.8726348,332,57.9399056,0.178125,0.1370231,78.8726348,123.0-095.0
16,15,0.40227299,63.7318312  0.0758434  0.2565218 36.019732 ,375,63.7318312,0.0758434,0.2565218,36.019732,123.0-097.0
