lon,lat,lonr,latr,age,AGB,BGB,GPP,NPP,gf_flag,Igrid
,,-97,23,48,57.6580446423383,15.6617697212271,4.67177666166766,1.71100748509523,,083.0-113.0
,,-97,25,45,53.4515799508376,14.021933755849,1.01214611872146,0.573318112633181,,083.0-115.0
,,-95,15,48,76.2833842118378,23.6243660885124,4.07730986724727,2.0427491003659,,085.0-105.0
,,-95,17,47,98.2073328432045,33.2480860255745,4.75014166525361,2.1192326881034,,085.0-107.0
,,-95,19,50,148.060519324789,54.1490938328004,6.03361436588648,0.910003261939838,,085.0-109.0
,,-93,17,46,160.478255393596,63.5114958732643,3.60755697704826,1.59618128055036,,087.0-107.0
,,-91,-1,49,90.8018797627474,29.8515673851575,4.49101175309072,2.56433593948501,,089.0-089.0
,,-91,1,48,86.3686451048221,26.6595393314422,1.71856164383562,1.02952054794521,,089.0-091.0
,,-91,13,49,155.344182648253,60.4915140893848,6.39828158207496,2.0303278664471,,089.0-103.0
,,-91,15,49,164.592141480621,66.7170066397025,5.25510126941961,1.95579386634419,,089.0-105.0
,,-91,29,40,63.2091202364454,17.7928212316165,4.04340204100395,1.46775581502252,,089.0-119.0
,,-89,-1,50,60.3882750270581,16.6329237885239,2.19950754291659,1.26953355297382,,091.0-089.0
,,-89,13,50,106.263843990315,35.647265689582,6.38941712180023,1.07749813825624,,091.0-103.0
,,-89,15,45,98.6579317820396,32.9452926651,6.76944851966416,2.60384357048166,,091.0-105.0
,,-89,19,50,49.476194647744,13.3572368638052,4.46099936169887,1.56721284093689,,091.0-109.0
,,-89,21,49,42.7984000380345,10.6033860851771,5.79188720920807,1.90540935223891,,091.0-111.0
,,-89,29,42,40.9618183607641,9.92863445509304,3.22957077625571,1.62248140900196,,091.0-119.0
,,-87,11,49,31.269041586467,7.85675663553314,4.03332393231265,1.6886655922643,,093.0-101.0
,,-87,21,50,50.716067197239,13.6615426961306,4.99220541650602,1.72090132422714,,093.0-111.0
,,-85,9,49,144.916476325346,53.9390869042509,7.0227678093911,1.99806314282244,,095.0-099.0
,,-85,11,49,134.296613718496,48.8374955388323,5.96803662784005,1.31998669490096,,095.0-101.0
,,-85,15,49,127.032852400632,46.3708260071984,6.82950495984884,1.86328459323144,,095.0-105.0
,,-85,21,50,94.7938292705325,30.2116138900437,6.91931202435312,1.45498828006088,,095.0-111.0
,,-85,23,50,100.226921088474,32.3636783129626,6.04799048905464,1.23500081681768,,095.0-113.0
,,-83,11,48,36.6868460860804,8.73224006752173,5.95279976474625,1.40506971843066,,097.0-101.0
,,-83,13,49,93.5345808964058,30.3651201664027,5.67057113329021,1.47580892349395,,097.0-103.0
,,-83,15,49,86.2953284794619,27.6949968252577,6.32638249761485,1.52666887001905,,097.0-105.0
,,-83,21,50,59.2897720954974,16.497130343831,5.38157389148783,1.47619375275336,,097.0-111.0
,,-83,29,48,81.7332163214836,24.7670301788246,4.03763575627314,1.73877152549395,,097.0-119.0
,,-81,-5,35,32.1324577090215,7.224779336681,2.31901065449011,1.36622146118721,,099.0-085.0
,,-81,-3,48,97.9603325428104,31.716651300717,5.49621874252149,2.19941306349897,,099.0-087.0
,,-81,7,50,199.360920648718,81.1494885959333,6.20870852634642,1.34813900822349,,099.0-097.0
,,-81,9,50,199.488849540202,85.754147832276,6.31241249026539,1.61202694497788,,099.0-099.0
,,-81,13,49,15.9312119519573,2.8965201858644,6.17180286569044,0.910127538970241,,099.0-103.0
,,-81,19,50,123.424613016761,43.0403467921424,6.61338892488128,0.864260200503597,,099.0-109.0
,,-81,21,48,54.7120194793652,14.9947264937784,3.806252376193,1.51563329217865,,099.0-111.0
,,-81,23,49,47.9012582840258,12.5724724821171,5.20226543860623,1.16746626646773,,099.0-113.0
,,-79,-3,49,109.389944344909,36.5122439731587,6.9236609803009,2.54685039661773,,101.0-087.0
,,-79,3,50,132.535218383126,47.1071070834835,6.69148952856618,2.99896494835928,,101.0-093.0
,,-79,7,50,98.0220098018583,31.4161468455423,6.52389603625189,1.51773581957394,,101.0-097.0
,,-79,9,50,165.825452285119,64.6525399726417,6.10254081761433,1.56360234509568,,101.0-099.0
,,-79,19,50,120.714687115535,42.1839889976413,6.76154337111587,1.45546656896002,,101.0-109.0
